                   FOOD ETC
 ___________________ ________________________________ _________________________
|RECIPE:            |INGREDIENTS:                    |SURV|EFFECTS:            |
|=-=-=-=-=-=-=-=-=-=|=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|=-=-|=-=-=-=-=-=-=-=-=-=-|
|Antivenom (x2)     |Night Stalker Blood (x1),       | 40 |Cures Animal Poison |
|                   |Radscorpion Poison Gland (x4)   |    |                    |
|Bleak Venom (x3)   |Bark Scorpion PG (x3),          | 50 |HP -15(10s)         |
|                   |Cazador PG (1x)                 |    |                    |
|                   |White Horsenettle (5x)          |    |                    |
|Mass Purified Water|Dirty Water (30x) Glass Pitcher | 50 |HP  7(5s)           |
|(30x)              |(3x), Pressure Cooker (1x),     |    |                    |
|                   |RadAway (1x), Surgical Tubing(3x|    |                    |
|Mother Darkness(3x)|Bark Scorpion PG (3x)           | 75 |AGL -3(1m)PER -3(1m)|
|                   |Cazador PG (1x),                |    |HP -8(10s)          |
|                   |White Horsenettle (5x)          |    |                    |
|Rocket             |Box of Detergent (1x), Jet (1x) | 50 |AP  30              |
|                   |Nuka-Cola (1x)                  |    |                    |
|Silver Sting (3x)  |Bark Scorpion PG (3x)           | 30 |STR -2(1m),HP-8(10s)|
|                   |Cazador PG (1x)                 |    |                    |
|                   |White Horsenettle (5x)          |    |                    |
|Tremble            |Bark Scorpion PG (3x)           | 90 |Guns -50(20s),      |
|                   |Cazador PG (1x)                 |    |Explos. -50(20s),   |
|                   |White Horsenettle (5x)          |    |Melee Weap. -50(20s)|
|                   |                                |    |Ener. Weap. -50(20s)|
|                   |                                |    |HP -2(20s)          |
|Atomic Cocktail(4x)|Mentats (1x), Nuka-Cola Victory | 25 |Ener. Resis  75,    |
|                   |(2x), Vodka (2x), Wine (1x)     |    |Fire Resis  75, Rads|
|                   |                                |    | 9                  |
|Healing Powder     |Broc Flower (1x), Xander Root(1x| -- |PER -3, HP  3(18s)  |
|Hydra (2x)         |Cave Fungus (5x), Night Stalker | 75 |Restore Limb Condit.|
|                   |Blood (3x), Radscorpion PG (2x) |    |(60s)               |
|Party Time Mentats |Honey Mesquite Pod (1x), Mentats| 50 |CHR  5, PER  2, INT |
|                   |(1x), Whiskey (1x),             |    | 2                  |
|Slasher            |Banana Yucca Fruit (2x) Psycho  | 50 |Damage  25%,        |
|                   |(1x), Stimpak (2x)              |    |Dam. Res  25        |
|Bighorner Steak    |Bighorner Meat (1x)             | 50 |STR  3, Rads  1, HP |
|                   |                                |    |7(10s)              |
|Bloatfly Slider    |Bloatfly Meat (1x), Prickly Pear| 20 |Rads  1, HP  10(15s)|
|                   |Fruit (2x)                      |    |                    |
|Brahmin Steak (2x) |Brahmin Meat (2x), Wine (1x)    | 35 |STR  3, Rads  1, HP |
|                   |                                |    |7(15s)              |
|Cactus Water       |Empty Soda Bottle (1x), Prickly | 30 |HP  7(5s)           |
|                   |Pear Fruit (3x)                 |    |                    |
|Caravan Lunch      |Cram (1x), InstaMash (1x),      | 30 |HP  3(15s), Rads -4 |
|                   |Lunchbox (1x), Pork N’ Beans (1x|    |(10s)               |
|                   |RadAway (1x)                    |    |                    |
|Coyote Steak       |Coyote Meat (1x)                | 50 |Rads  1(3s),HP 7(15s|
|Desert Salad       |Barrel Cactus Fruit (2x)        | 55 |HP  25(15s)         |
|                   |Brahmin Steak (1x) Pinyon Nuts  |    |                    |
|Dog Steak          |Dog Meat (1x)                   | 40 |Rads  1, HP  7(10s) |
|Fire Ant Fricassée |Cazador Egg (1x), Cram (1x),    | 75 |HP  3(1m)           |
|                   |Fire Ant Meat (2x), Flour (1x)  |    |                    |
|Gecko Kebab (2x)   |Banana Yucca Fruit (1x), Gecko M| 60 |Rads  1, HP  3(40s) |
|                   |Jalapeño Pepper (1x), Buffalo GS|    |                    |
|Gecko Steak        |Gecko Meat (1x)                 | 25 |Rads  1, HP  7(10s) |
